Q9J5G5	3.6.1.23
Q07578	3.2.1.18
B2MW51	2.7.7.48
Q38RY9	1.9.3.1
A5PJW8	2.7.7.6
A0A2R6XIK6	2.7.11.1
Q9VI13	2.7.11.1
P00917	4.2.1.1
Q8X0Z0	1.3.99.30
P0C6Z8	2.7.11.1
Q65900	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
L7N6A5	2.3.1.157;2.7.7.23
Q53AV2	1.6.5.3
A0A0H3AL67	4.3.2.2
P25464	6.3.2.26
O03851	1.9.3.1
P53764	3.2.2.27
B3F2X7	2.1.1.56;2.7.7.50
C8XPA8	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q5UP25	2.7.1.21
P58969	2.1.1.248
Q5UPJ7	6.1.1.1
P36727	3.6.4.12
A6YQT5	2.7.7.48;3.4.19.12;3.6.4.12;3.6.4.13
O42411	1.97.1.10
O36385	2.7.10.2
P50662	1.9.3.1
P22174	2.7.7.48
P31795	3.1.26.4;2.7.7.49;2.7.7.7
Q91ZI8	1.97.1.11
Q08534	2.7.7.48;3.6.4.13
A1YIZ1	2.7.9.3
F9XLC1	2.5.1.29
O41353	2.7.7.48
B7TWW5	1.14.13.132
P21095	2.7.11.1
Q2F5L3	2.1.2.1
P0C9A5	3.6.4.13
O36410	1.17.4.1
P83645	1.11.1.9
P34255	2.3.1.16
P12554	3.2.1.18
Q6DPL2	3.2.1.18
P22649	2.7.1.21
B4FK49	2.7.4.6;2.7.13.3
P98031	1.9.3.1
Q9Z034	3.6.1.3
O71028	3.6.1.23;3.5.4.13
A0A1V0QSA8	2.5.1.29
Q4U3V0	2.7.7.7
P0C0W6	2.1.1.249
Q9NR48	2.1.1.43
Q0A2D9	2.7.7.48
P0C6W1	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
P0CK02	3.4.22.45
P15965	2.7.7.48
P05960	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
P03356	3.1.26.4;2.7.7.49;2.7.7.7
B5E4Y3	1.7.1.7
P17193	2.7.7.49;2.7.7.7;3.1.26.4
Q89121	2.7.11.1
Q5UQG3	1.5.1.3;2.1.1.45
A0A509AKL0	2.7.11.1
Q6NZR5	3.6.4.13
Q7T6X2	2.7.11.1
A5U8X0	5.99.1.2
P17965	2.7.7.48;3.6.4.13
Q33339	2.7.7.48
B5E4U6	2.7.1.48
Q8ZPP5	2.7.13.3
P52284	2.1.1.72
A0A1P7Y0C9	2.5.1.21
A4GCI3	2.7.7.48
O36395	3.2.2.27
P0DST3	2.7.7.6
Q80909	3.6.4.12
P68564	2.7.1.21
Q6GZN7	1.8.3.2
B2UUV9	2.7.7.6
Q9IGQ6	3.2.1.18
O21619	1.9.3.1
Q9Q0U7	3.2.1.18
Q9TA26	1.9.3.1
Q80DV1	2.7.7.6
O57203	2.7.1.21
Q9WBI3	2.1.1.45
Q4WCL5	2.3.1.9
Q8MJ14	1.11.1.9
D3UW23	3.4.11.7
Q8UZB6	2.7.7.48;3.6.4.13
P13897	3.4.21.90
O90371	3.4.21.90
R9QMQ9	4.2.3.111
Q6GZR3	2.7.7.6
Q8HZJ8	1.1.1.146
B9U443	3.1.1.74
O70736	2.7.7.7;3.1.26.4
A1Z9L3	3.6.4.13
P00573	2.7.7.6
Q38RZ7	1.9.3.1
Q5UQL3	2.7.4.6
O36411	1.17.4.1
Q9YID8	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q9VIF6	3.6.4.13
P93964	2.7.7.6
Q66117	2.7.7.48
Q94497	2.7.9.3
Q55CU2	3.1.11.6
F1P963	3.6.1.55;3.6.1.56
B8YB63	2.7.7.6
P32176	1.2.1.2
B8BIM2	1.14.13.72
A0A166U5H3	2.1.1.69
Q7ARI8	3.6.3.14
A4GCK5	2.7.7.48
P31202	4.1.1.39
Q0QF17	1.3.5.1
Q3Y6B8	3.4.24.84
Q19QT7	4.4.1.1
Q9QBU0	2.7.7.48;3.6.4.13
Q8UVX8	1.97.1.10
Q3ULW8	2.4.2.30
P07617	2.1.1.57
I1RY81	2.3.1.9
P11328	3.6.4.12
R9WTS6	1.13.11.12
D3ZDM7	1.4.3.1
O51767	3.6.4.13
Q8B8X3	2.7.7.48
Q196W4	1.8.3.2
Q1WP01	2.7.7.48
P18173	1.1.99.10
P16203	3.2.1.18
O89344	2.1.1.56;2.7.7.48
P0DO55	4.3.1.24
Q9HV31	2.7.13.3
P17459	2.7.7.48
P50673	1.9.3.1
P0C8G9	1.8.3.2
Q8DP70	1.6.99.3
A0QUA1	6.2.1.20
O47671	1.9.3.1
P68547	2.7.7.6
Q0HD52	2.7.7.48
P92693	1.9.3.1
O36966	2.7.7.48
Q5ZMF3	2.7.1.74
S3D9F8	2.3.3.13
Q9I4F8	2.7.13.3
Q8JN66	3.4.22.39
Q66T60	2.1.1.56;2.7.7.48
Q937Z1	2.3.1.157;2.7.7.23
P28936	3.4.21.97
Q08II5	2.7.7.48
Q9T1T5	3.2.1.17
P0CJ95	3.4.22.45
A0A179HME7	2.6.1.42
O83759	6.3.5.1
M2V8C1	2.5.1.29
P12848	1.17.4.1
Q9IDV9	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q9INI4	2.1.1.56;2.7.7.50
Q38S26	1.9.3.1
Q5MQD1	3.1.1.53
P09278	3.4.19.12
A0A1P7Y0D0	2.5.1.21
A0A7H0DN39	2.7.7.6
P09498	2.7.7.48;3.6.4.13
Q5UPX7	2.7.7.6
P09252	2.7.7.7;3.1.26.4
P0DOM1	2.7.7.19
P93906	4.1.1.39
Q6NKR2	3.1.3.16;3.1.3.48
A0A1D8PS71	3.1.3.2
P09307	3.2.2.27
Q5UQE1	6.3.5.4
P49896	1.97.1.10
P68609	2.7.7.6
D3U717	4.2.1.91;4.2.1.51
Q80915	3.6.4.12
A2XKG2	3.6.4.13
Q4U5S1	2.1.1.159
O83386	2.7.1.148
P13899	2.7.7.48;3.4.22.28;3.6.1.15
Q197B2	1.17.4.1
O54857	3.1.3.67;3.1.3.48;3.1.3.16
Q66802	2.1.1.56;2.7.7.48
Q07571	3.2.1.18
Q65657	3.4.22.45
Q8I4S1	2.7.4.9
P21402	2.7.7.7
Q7AKF0	6.1.1.7
P0C8I3	2.7.1.21
Q8JMY7	2.7.7.49;2.7.7.7;3.1.26.4
Q4WNT5	1.14.13.70
P38597	1.9.3.1
P00527	2.7.10.2
P87563	3.4.22.39
P09523	2.7.7.49
Q6BEX0	3.6.3.17
B5E399	1.1.1.94
Q33375	1.9.3.1
A0A0P0ZEM1	2.5.1.29
P04415	2.7.7.7
P00521	2.7.10.2;2.7.10.1
P55200	2.1.1.43
C5I9X1	1.2.1.3
Q9DLD3	2.1.1.56;2.7.7.48
Q7XEM4	2.3.1.119;2.3.1.199
F2XFB2	4.2.3.132;5.5.1.12;4.2.3.44;4.2.3.32;4.2.3.18
Q8BYH8	3.6.4.12
Q5UQR3	3.4.19.12
Q6J8E4	3.2.1.18
G5DDC2	1.2.1.8
O64238	2.1.1.148
L0BUM3	2.1.1.160
Q9Q8Z2	3.6.1.15
P0DSX5	2.1.1.56;2.7.7.50;3.1.3.33
Q06GJ0	3.2.1.52
Q9JF79	2.7.7.6
P17779	2.7.7.48;3.6.4.13
A0A384JLD1	3.2.1.4
A6WFI5	3.1.1.74
Q4U0X6	2.7.7.49;2.7.7.7;3.1.26.4
Q38AH1	5.4.2.1
P11180	2.3.1.12
P0DJ86	3.4.21.74
P05897	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
P68986	3.4.22.39
Q8MBG5	3.6.3.14
P13319	3.1.26.4
Q9QF31	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
P0C6T5	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q40372	1.11.1.7
Q8JMZ7	2.7.7.49;2.7.7.7;3.1.26.4
Q805R1	2.4.1.102;2.4.1.150
Q809U7	3.2.1.18
Q94MV8	3.6.1.12
P16504	2.7.7.48
P36332	3.4.21.90
Q4DUK7	2.3.1.199
B0XXN8	2.7.11.1;2.7.11.25
P87503	2.7.7.7
Q59599	6.3.5.5
P0C9A3	3.6.4.13
P68299	1.9.3.1
Q73JP8	2.7.9.3
P43806	4.2.1.11
P49897	1.97.1.11
D7PF45	3.1.3.86
A8E1C4	3.4.19.12
P0DSP8	3.2.2.27
P17520	2.7.7.48
P22056	3.4.21.90
A7X680	2.7.1.134;2.7.1.159
P03470	3.2.1.18
P33486	3.2.1.17
Q80922	3.6.4.12
P23007	2.3.3.1
P00525	2.7.10.2
B8YB55	2.7.7.6
P52283	3.1.21.4
P04024	3.6.1.23
Q1K9Q5	2.7.7.48
Q05985	4.1.1.39
Q1PUD1	2.7.7.48
Q9DHU2	1.17.4.1
B2MW49	2.7.7.48
Q01038	1.17.4.1
P17699	2.7.7.48
A0A509AHB6	2.7.11.1
P03430	2.7.7.48
P28897	2.7.7.48;3.6.4.13
Q9Q8P6	2.7.7.6
Q8VA41	3.6.4.13
O71150	3.4.22.39
Q9QTF2	1.17.4.1
I3QBP4	1.14.21.1
Q5WQY5	3.4.21.90
P71384	4.2.1.2
Q4AEI2	1.11.1.9
Q76ZS7	5.99.1.2
P0CK03	3.4.22.45
Q8MMZ8	2.7.11.1
A0A8J1M587	3.6.4.13
Q32G86	3.5.1.96
Q9L3Q5	1.11.1.15
Q69BJ7	1.10.2.2
P0CK09	3.4.22.45
Q8S0S6	1.14.11.13
Q8V3T6	2.7.7.48
P03116	3.6.4.12
B5E6K3	5.4.2.10
P98046	1.9.3.1
Q5UQR0	2.7.7.7
O98360	4.1.1.39
A0A0S2PM82	2.1.1.160
B2DEV1	2.1.2.1
P44197	5.4.99.26
Q8JPR2	2.7.7.48
A0A0P0WIY3	4.4.1.14
P00534	2.7.10.1
Q9QAQ9	3.1.1.53
P04026	3.1.26.4;2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13
Q07580	3.2.1.18
H2N0D4	3.2.1.1
P09963	3.2.1.17
Q7Y2C0	3.2.1.17
P22799	1.15.1.1
Q2RCG8	2.7.7.48
A0A0P0WGX7	3.6.4.12
Q86783	2.7.7.48
A0A060LAL9	1.11.2.3
A0A858E6N7	2.5.1.29
P52217	1.21.4.2
P51728	3.2.1.17
P00971	6.5.1.3
F8UL80	4.2.3.23
B2S2W8	2.7.1.148
Q85036	2.7.7.48
O91745	3.2.1.18
G0SHF3	1.2.4.1
Q9J5C7	1.8.3.2
P33468	3.1.1.53
P35341	2.1.1.56;2.7.7.48
X5CY81	1.18.1.3
Q8I295	1.17.1.2
A0A023VXA2	3.2.1.4
P10439	3.2.1.17
D3ZEY4	2.7.1.107
C8XPB2	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
A0A2D0TC04	3.1.4.1;3.6.1.9
A0A077ES70	2.1.1.104
A0A0E0SMA3	2.1.1.41
P32209	1.17.4.1
Q8JTG9	2.1.1.56;2.7.7.48
E0WN94	4.1.1.17
Q9QEJ5	2.7.7.48;3.4.22.66;3.6.1.15
A4U6V5	3.2.1.18
O57252	2.7.11.1
P22382	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q6UDK1	2.7.7.7;3.1.26.4
Q9S2H6	2.7.1.69
Q2F7J3	3.1.26.4;2.7.7.49;2.7.7.7
Q96190	1.9.3.1
P0C8I2	1.17.4.1
P49898	1.97.1.11
P20127	2.7.7.48;3.6.4.13
Q9Q6Q5	2.7.7.48
A7MAQ2	4.2.1.1
A0A0H2ZF87	2.1.1.200
R9QMY8	4.2.3.121;4.2.3.119
J9VQQ3	3.6.3.8
A0A221J5X6	1.3.1.3
Q4IB89	2.7.11.1
Q38087	2.7.7.7
Q99MY8	2.1.1.43
P04850	3.2.1.18
P36724	3.6.4.12
A0A0H2UQZ4	1.6.99.3
P0C6V9	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q76WJ1	3.2.1.18
P0C6W8	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
O25026	2.7.13.3
Q809L9	2.7.7.48
Q9UMN6	2.1.1.43
P68693	2.7.4.9
Q25BI3	2.7.7.7
Q289M4	3.2.1.18
P12502	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.47;3.4.23.16
P0CW79	3.4.22.45
Q2QLV9	2.5.1.32
P98044	1.9.3.1
A0A1D8PH78	2.5.1.10;2.5.1.1
P00658	3.1.27.5
A0A0H3LKL4	1.14.13.114
P56591	1.14.14.1
P04303	3.2.2.27
P37800	2.7.7.48
Q07582	3.2.1.18
B5E5N2	4.2.3.5
A0A1U8QLG8	2.5.1.29
Q5NVA2	1.8.1.9
Q8RY11	3.4.11.9
P0CK08	3.4.22.45
A5K0N4	2.7.11.1
P33478	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P00513	2.7.11.1
Q9JGF2	2.7.7.48
P0CK10	3.4.22.45
A0A858E7G0	2.5.1.29
Q6TXB9	3.2.1.18
P06225	2.7.7.7
A0A1L8HU22	4.2.99.18
P16502	2.7.7.48
A0A0H3GN27	4.2.1.11
Q5UQ78	2.7.11.1
Q6IUF8	2.7.7.48
P19787	6.3.2.26
P89678	2.7.7.48
Q288N7	2.7.7.48;3.4.22.66;3.6.1.15
O47681	1.9.3.1
P20875	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q0J705	1.6.2.4
Q92116	1.14.14.1
P0C8I0	1.17.4.1
Q8W9G7	1.9.3.1
Q7TDB6	2.7.7.48
Q0HD57	3.2.1.18
P09569	3.4.22.39
A0A1D8PD39	1.1.1.34
P22168	2.7.7.48;3.6.4.13
P52369	3.4.21.97
O73878	2.7.10.1;2.7.10.2
Q03133	2.3.1.94
Q9DUD8	2.1.1.56;2.7.7.48
Q6Q305	2.7.7.48
Q9EVI8	2.3.3.13
O57177	2.7.11.1
P0C9D3	2.7.7.19
O91464	2.7.7.48
Q38RV3	1.9.3.1
B3VML1	2.7.7.48
O08405	1.11.1.21
Q751J3	2.7.11.1
O54909	1.1.1.105;1.1.1.62
Q9J584	2.1.1.56;2.7.7.50;3.1.3.33
O89049	1.8.1.9
P03355	3.1.26.4;2.7.7.49;2.7.7.7
Q8B912	2.7.7.48;3.4.19.12;3.6.4.12;3.6.4.13
O48276	1.9.3.1
Q8QGX4	2.7.11.1
P03309	2.7.7.48;3.4.22.28;3.4.22.46;3.6.1.15
Q9VL25	3.6.4.13
Q7T6X5	2.7.7.6
K9Y6Y9	4.2.3.114;4.2.3.115
P54817	3.4.21.97
P20235	2.7.7.48;3.4.22.44
P21526	3.2.1.18
Q07599	3.2.1.18
P29814	3.6.1.15
P82809	1.1.1.218
Q7K5K3	1.2.4.1
P33802	2.7.1.21
Q30NP3	2.7.7.48
V5XYR2	2.3.3.10
D5LX59	3.4.19.12
Q29593	2.2.1.2
B1VB81	2.7.2.15;2.7.2.1
Q42606	2.1.1.107
Q2T4N0	2.3.1.39
P98024	1.9.3.1
P36290	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q07585	3.2.1.18
P26808	3.1.26.4;2.7.7.49;2.7.7.7
Q8V2K9	2.7.4.9
P35992	3.1.3.48
P03300	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
K9N7C7	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
M4ISH1	6.2.1.3
R9QMR2	4.2.3.121
B5E4A8	2.3.1.157;2.7.7.23
Q4JQX9	3.4.19.12
A0A7H0DN73	2.7.1.21
O47708	1.9.3.1
P09247	1.17.4.1
Q5UPW7	3.4.19.12
H1VQB1	2.5.1.29
Q2V0C9	4.2.1.22
Q9WNW0	2.7.7.48
P10277	3.6.4.12
Q6SW77	2.7.7.7;3.1.26.4
Q6SW62	3.4.21.97
Q8K3G5	2.7.11.1
Q05318	2.1.1.56;2.7.7.48
Q67724	3.6.4.13;2.7.7.48
Q9EA42	3.2.1.18
Q8VD84	3.1.27.5
Q84UI6	2.1.1.43
A7YD35	1.97.1.11
Q6XT06	2.7.7.48
P28887	2.1.1.56;2.7.7.48
P13896	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
P41684	3.2.1.14
Q82WA8	2.6.1.1
P20505	2.7.11.1
Q6YI57	2.7.7.48;3.6.4.13
B0BNF9	1.1.3.15
Q9E784	2.1.1.56;2.7.7.48
P89684	3.4.22.45
P0DW67	3.6.4.12;5.99.1.3
P06855	2.7.1.78
W6R1D9	6.2.1.3
Q8NEZ4	2.1.1.43
O61078	5.99.1.3
O90369	3.4.21.90
A0A2Z4HPY5	2.3.1.31
P0C6W7	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
O45734	3.4.22.15
Q38RU4	1.9.3.1
P17595	3.6.4.13
B0KZK1	3.2.1.1
P06818	3.2.1.18
O48316	1.9.3.1
Q26547	3.1.2.6
Q38S17	1.9.3.1
A0A348FUE1	2.5.1.29
Q6WNP2	3.13.1.3
C3RZA1	2.1.1.43
P0DTC1	3.4.19.12;3.4.22.69
Q38617	6.5.1.1
G4ZHR2	3.2.1.151
Q5Y944	2.7.7.48;3.6.1.15
O47674	1.9.3.1
Q7IZ11	1.9.3.1
P92418	2.7.7.6
P24988	1.9.3.1
A7GCV1	1.21.4.2;1.21.4.3;1.21.4.4
Q02963	3.4.22.45;2.7.7.48;3.4.22.44
Q83417	3.4.21.97
P0C6U2	3.4.19.12
P06856	2.7.7.7
P31822	3.6.1.23;2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7
Q0A461	2.7.7.48
Q0A440	2.7.7.48
P31693	2.7.10.2
Q779K4	3.2.2.22
P68697	5.99.1.2
Q8R8W3	2.7.9.3
O24676	1.14.12.11;1.14.12.3
A0A077EYL8	2.1.1.104
P36970	1.11.1.12
P07659	2.7.7.6
P69186	2.7.1.21
A0A1Y1C7Q5	2.5.1.29
Q9YRB3	2.7.7.48;3.6.4.13
O47692	1.9.3.1
Q34941	1.9.3.1
P12900	2.7.7.49;2.7.7.7;3.1.26.4
Q168G2	6.4.1.3
P28893	3.6.1.23
P32652	2.7.7.48;3.4.22.44
P0CK13	3.4.22.45
P16505	2.7.7.48
O47702	1.9.3.1
Q9R4G8	1.21.4.2
P33459	2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7;3.6.1.23
F9WZD2	2.5.1.29
P20659	2.1.1.43
Q8JMN0	2.1.1.56;2.7.7.48
E1AQY3	2.6.1.96
P20177	2.7.7.48;3.4.22.44
P23074	3.1.26.4;2.7.7.49;2.7.7.7
Q9WYJ1	4.3.1.19
Q5UR22	3.6.4.13
A3DSK5	2.7.7.48
S4R2K0	3.5.1.88
Q9RUP5	5.3.1.1
Q81862	2.7.7.48
O62138	1.3.3.6
Q9MRR9	3.6.3.14
Q05111	3.6.4.12
P17377	2.7.7.48
Q9AIK2	1.4.1.1
P03315	3.4.21.90
P27359	3.2.1.17
G3MZY8	2.7.7.48;2.7.7.6
A0A2I0BVG8	2.7.11.1
Q32668	4.1.1.39
P0C6T8	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q1KZ59	3.6.4.13;2.7.7.48
Q9ZSQ4	5.4.2.2
P28955	3.4.19.12
Q02049	3.6.4.12
Q91DD4	2.1.1.56;2.7.7.48
E5D8F2	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
P04382	1.5.1.3
Q3AAF7	2.7.9.3
Q9JH70	2.7.7.48
B8YB53	2.7.7.6
I1LHU6	1.3.1.45
P79747	1.97.1.10
Q5JF17	4.1.1.36;6.3.2.5
Q8JL72	2.7.4.9
G7JT50	3.5.3.12
Q8Y7F2	2.7.1.26;2.7.7.2
A4QDS8	4.2.1.33
Q2FXA4	4.99.1.1
Q6WNW5	2.1.1.56;2.7.7.50
A1XIP9	2.7.7.48
A9JR23	2.7.7.48
Q9VVK8	3.6.4.13
Q76ZP7	2.7.7.6
Q03164	2.1.1.43
A0A0U3BRC5	2.5.1.29;2.5.1.10;2.5.1.1
P29044	2.7.7.48
D3ZMY7	3.1.3.5
O72904	3.6.4.13
Q5C9L7	2.1.1.128
Q32770	4.1.1.39
Q6XW15	2.7.7.48;3.4.22.44;3.4.22.45
S0EPU6	1.3.99.30
P07658	1.1.99.33;1.2.1.2
P16379	2.1.1.56;2.7.7.48
Q76634	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.47
Q02597	2.7.7.48;3.4.22.44;3.4.22.45
Q9QSP0	2.1.1.56;2.7.7.48
P50762	3.6.4.12
P11292	2.7.7.49;2.7.7.7;3.1.26.4
R9QMW7	4.2.3.121;4.2.3.119
A0A1L8HV70	2.7.1.74
P36304	2.7.7.48;3.6.4.13
Q45UF7	2.1.1.56;2.7.7.50
O67139	2.7.9.3
P83373	1.1.1.37
O62140	1.3.3.6
A0A0H3K6J4	3.4.24.75
P04408	2.7.1.21
Q9PYY5	3.4.22.50
P03161	2.7.7.49;2.7.7.7;3.1.26.4
O68008	5.1.1.11;5.1.1.13
Q2LFV4	3.2.1.18
P09675	2.7.7.48
Q6CFT7	3.6.3.14
P26543	3.6.4.12
M4DUF2	1.10.3.2
Q91401	3.4.24.41
Q9FEY5	2.3.1.74
W8JWV8	1.1.1.1
P25950	2.1.1.56;2.7.7.50;3.1.3.33
Q9ZZY8	1.9.3.1
Q155Z9	2.7.7.48;3.6.1.15;3.4.22.28
P34203	5.99.1.3
P49303	2.7.7.48;3.4.22.28;3.4.22.46;3.6.1.15
Q2HXI6	2.1.1.160
P0CK11	3.4.22.45
Q05988	4.1.1.39
E1WKT5	2.1.3.9
P0DOO2	2.7.7.6
Q7J6G2	1.9.3.1
A0A0A1C930	1.1.1.34
Q6XQ98	3.2.1.17
P04292	2.7.7.7;3.1.26.4
P07967	3.1.1.53
O47680	1.9.3.1
P27582	1.1.1.100
O21331	1.9.3.1
P15776	3.1.1.53
P32542	2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7;3.6.1.23
Q5XXP3	3.4.21.90
Q5UPZ0	6.5.1.2
P31201	4.1.1.39
Q5UNV4	2.7.7.23
O73556	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q3U0P5	3.6.1.6
Q0EF98	1.11.1.9
P07059	3.1.21.1
Q1X881	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
O57193	3.6.4.13
P12427	2.1.1.72
P07572	3.1.26.4;2.7.7.49;2.7.7.7;3.6.1.23
A0A382	1.6.5.3;1.6.99.5
A0A7H0DN52	1.17.4.1
Q9Q6P4	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q57UP8	2.3.1.199
Q07494	2.7.10.1;2.7.10.2
Q9ZZ61	1.9.3.1
B1AWN4	3.6.3.1
P36287	2.7.7.48;3.6.1.15;3.4.22.66
A0A1L6Z3A5	4.2.3.38
P31349	3.2.1.18
A0A8I5ZNK2	2.7.11.1
Q38S47	1.9.3.1
G0S4X6	2.3.1.12
Q2FWH7	2.7.13.3
P12561	3.2.1.18
A4IG53	2.1.1.6
D6WJ77	2.1.1.100
P55073	1.97.1.11
P13158	3.2.2.27
Q91RA6	2.1.1.56;2.7.7.50
Q91HJ9	2.1.1.56;2.7.7.50
P31792	3.1.26.4;2.7.7.49;2.7.7.7
P51101	4.1.1.39
Q0P8H3	1.1.1.22
Q94IP1	1.14.13.11
A0A7H0DN21	1.17.4.1
P29149	2.7.7.48
Q599A0	1.9.3.1
Q7IZ08	1.9.3.1
Q93TM1	2.4.1.10
P0C580	1.11.1.21
P27907	3.2.1.18
P50686	1.9.3.1
Q8TS73	2.1.1.250
Q9Y8A5	2.3.1.161
Q9VKY8	2.7.9.3
Q8QVV0	2.7.7.48
P0DW99	2.3.1.180
P68608	2.7.7.6
Q05569	2.7.7.6
P69545	6.5.1.1
Q70EL3	3.4.19.12
Q7T6X9	5.99.1.2
P44584	2.7.7.8
D8Q364	3.2.1.4
P23373	1.8.3.2
Q9YQ08	2.7.7.48;3.6.4.13
Q9RDS6	6.3.1.2
C0HM53	5.5.1.4
Q41771	5.5.1.13
P0C8I4	2.7.1.21
P28976	2.7.7.48
Q2VNE5	2.7.7.48
P44907	3.1.13.1
P07570	3.6.1.23
P28624	4.2.1.19;3.1.3.15
P19724	2.7.7.48;3.4.22.44
Q02048	3.6.4.12
A4GBY0	3.2.1.18
P0CP61	2.7.11.1
Q4L975	1.3.8.2
Q6YMS3	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P0C991	6.5.1.1
Q2M3G0	3.6.3.44
P98020	1.9.3.1
Q02964	2.7.7.49
A7BFV7	2.3.1.47
Q8FHF4	2.7.11.1
P48892	1.9.3.1
P89453	2.7.7.7;3.1.26.4
Q83906	3.4.22.39
Q9J509	2.7.11.1
O07824	1.14.12.12
Q4WSZ0	1.1.1.102
P14337	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P11825	3.4.22.39
Q89709	2.7.7.48
Q01365	3.4.22.45
O03173	1.6.5.3
O47693	1.9.3.1
Q64323	2.4.1.198
A0MD28	2.7.7.48;3.4.19.12;3.6.4.12;3.6.4.13
Q1LU65	2.3.1.15
B5IEU6	4.1.2.4
A0A0A2JWD0	2.5.1.34
Q2VST0	3.2.1.14
F1N2K1	1.8.3.5
Q4DUK4	2.3.1.199
P09866	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P00545	2.7.10.1
O57214	3.6.1.15
P27980	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q6QGJ5	2.1.1.45
P29837	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P25180	3.2.1.18
O39436	2.7.7.48
P28851	2.7.1.21
Q5UQU2	3.6.4.13
Q5UQ00	4.2.99.18;3.2.2.23
P03160	2.7.7.49;2.7.7.7;3.1.26.4
P08292	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
B5E5N3	4.2.3.4
A2RIE6	2.7.1.69
P06209	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
P0CAP7	1.17.4.1
P31510	3.2.1.18
Q03396	2.1.1.56;2.7.7.48
Q66577	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
P03311	2.7.7.48;3.4.22.28;3.4.22.46;3.6.1.15
P90245	2.7.7.48;3.4.22.44
A7BFV6	2.3.1.47
Q76RE7	3.6.1.23
P31348	3.2.1.18
P09389	2.1.1.37
Q8V9T7	2.5.1.29;2.5.1.1;2.5.1.10
Q7IKU8	1.9.3.1
P27285	3.4.21.90
Q7K738	6.3.2.19
A5TY84	2.7.11.1
Q32ZD4	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P0DTE7	3.2.1.1
P33796	2.7.7.6
Q6VZL8	2.7.7.19
A0A2C9JXL4	2.4.1.122
G3FEX6	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P24656	3.1.3.48
P98033	1.9.3.1
A5K464	6.1.1.20
Q4WVM7	2.7.11.1
Q06502	2.7.7.48;3.6.4.12;3.6.4.13
P13559	3.2.1.17
Q00528	1.9.3.1
E9QY26	1.14.13.70
Q2TXF0	2.7.8.7;1.1.1.100;2.3.1.41;2.3.1.86
Q9AV39	1.14.13.72
Q02261	3.6.4.12
Q9I4N4	2.7.13.3
