P13559	3.2.1.17
Q82707	2.1.1.56;2.7.7.48
P09498	2.7.7.48;3.6.4.13
A0A482PU20	6.3.2.3
T2KMF4	2.7.13.3
A0A1D5AG16	2.7.8.7
Q8FB83	2.7.7.6
A0A1L8HU22	4.2.99.18
P07617	2.1.1.57
P12561	3.2.1.18
P0DOO3	6.5.1.1
Q9XWF6	6.3.2.19
Q8IE14	3.4.21.89
Q0CCX6	1.10.3.2
P13896	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
P00720	3.2.1.17
A0A384JAD8	2.4.1.15
F8W2M8	3.4.14.9
P14340	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q9QAZ8	2.7.7.48
P0C6W2	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
P17382	3.6.4.12
Q6J3P1	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q58725	3.4.11.18
P22055	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q6P549	3.1.3.86
Q37595	1.9.3.1
P0C6X6	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q99HR5	2.7.7.49;2.7.7.7;3.1.26.4
P03587	2.7.7.48;3.6.4.13
P08764	3.1.21.5
Q6XW15	2.7.7.48;3.4.22.44;3.4.22.45
P07540	3.2.1.17
P0C6Y2	2.7.7.48;3.6.4.12;3.6.4.13
P60200	1.8.98.1
Q37440	1.9.3.1
P68698	5.99.1.2
Q9WXE8	3.2.1.37
P28436	4.1.1.39
Q2VND0	3.2.1.18
Q75002	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q5UPX0	3.6.4.12;3.6.4.13
K0E3V3	2.6.1.42
Q33113	1.6.5.3;1.6.99.5
P21404	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q6LWL2	1.8.98.1
E9PYK3	2.4.2.30
O55766	2.7.7.6
Q5BEI9	3.2.1.4
Q8ZJW4	2.3.1.128
Q4JQV6	1.17.4.1
Q9QAQ9	3.1.1.53
A7IZZ1	4.2.3.16
Q38S47	1.9.3.1
P42486	2.7.7.6
P42672	3.4.22.39
P0DOM1	2.7.7.19
P20536	3.2.2.27
Q9SEC2	1.8.4.11
F8UL80	4.2.3.23
P98027	1.9.3.1
A0A0P0WGX7	3.6.4.12
Q05259	2.1.1.148
C6ZDB5	3.4.21.4
A0A0S4FKT4	3.4.21.74
Q04538	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P17699	2.7.7.48
A0A1S4CL59	2.4.2.19
Q9WUR3	3.1.27.5
P36969	1.11.1.12
P14336	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q809V4	3.2.1.18
P45845	1.4.3.13
Q9JFB7	2.7.1.21
Q2VST0	3.2.1.14
Q89703	2.7.7.49;3.1.26.4
Q4VKV2	2.1.1.56;2.7.7.48
P36721	3.6.4.12
P06012	2.7.7.48
Q5UNT1	2.7.11.1
Q91401	3.4.24.41
P07564	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q38RZ7	1.9.3.1
P28421	4.1.1.39
P0C6W0	2.7.7.48;3.6.4.12;3.6.4.13;3.4.19.12
A0A0H2UQZ4	1.6.99.3
B2MW49	2.7.7.48
Q6RZP5	2.7.7.19
Q288N7	2.7.7.48;3.4.22.66;3.6.1.15
P27284	3.4.21.90
P83255	3.4.24.72
Q57286	4.1.1.70
A0A1S4DFD3	2.4.2.19
P21231	2.7.7.48;3.4.22.44;3.4.22.45
A0A0U2U4F3	5.4.99.39;5.4.99.40
Q6VMB4	3.4.24.59
P03112	3.6.4.12
F5HI85	3.2.2.27
P44431	2.1.1.72
Q3KSP1	2.7.7.7;3.1.26.4
E9PYH6	2.1.1.43
A4GCM7	2.7.7.48
G0RH85	3.1.1.74
Q8VA43	2.1.1.56;2.7.7.50
Q9JH66	2.7.7.48
P49894	1.97.1.10
P36730	3.6.4.12
Q0A440	2.7.7.48
A0A0K3AUJ9	1.11.1.15
Q89662	3.6.1.23
P36332	3.4.21.90
P31822	3.6.1.23;2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7
Q6XDK8	2.7.7.48;3.6.1.15;3.4.22.66
I1RY35	2.3.3.10
Q32ZD7	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q595Z2	3.2.1.18
Q89249	2.7.7.48;3.6.4.13
Q36455	1.9.3.1
O48276	1.9.3.1
Q6LYD7	1.8.98.1
F2XFB2	4.2.3.132;5.5.1.12;4.2.3.44;4.2.3.32;4.2.3.18
P14337	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
A0A1Y2IY60	3.2.1.4
P68564	2.7.1.21
Q8RY11	3.4.11.9
P11158	1.17.4.1
P50760	3.6.4.12
Q6WNV7	2.1.1.56;2.7.7.50
G3MZY8	2.7.7.48;2.7.7.6
P08344	3.6.4.12
A4KZ49	2.7.7.48;3.4.22.44;3.4.22.45
P03302	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
D4Z2G1	3.8.1.5
Q6X2U4	2.7.7.48;3.6.1.15;3.6.4.13
P50673	1.9.3.1
Q9YW39	3.6.1.15
Q56775	2.4.1.251
Q9IIH4	3.4.22.39
O03851	1.9.3.1
O80292	3.2.1.17
Q289L9	2.7.7.48
A0A067XGX8	2.5.1.54
Q9QBY3	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
P58969	2.1.1.248
O93209	3.1.26.4;2.7.7.49;2.7.7.7
O57230	2.7.7.6
P30662	2.7.11.1
O07824	1.14.12.12
Q76ZS7	5.99.1.2
P35262	2.1.1.56;2.7.7.48
A0A509AKL0	2.7.11.1
P33812	2.7.7.6
Q85055	2.7.7.48
P12427	2.1.1.72
P13615	2.1.1.56;2.7.7.48
Q8W9N3	1.9.3.1
P69546	6.5.1.1
Q01002	3.4.21.97
Q66575	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q0ZB81	5.3.1.23
G8H5M7	4.2.3.71
Q4WHZ1	1.1.1.34
A0A0A1C3I2	1.1.1.34
Q32040	4.1.1.39
P50644	1.17.4.1
Q992J0	2.7.7.48
B0XXN8	2.7.11.1;2.7.11.25
A5JYS0	2.3.2.15
E9PSL7	2.7.11.1
P0C679	2.7.7.49;2.7.7.7;3.1.26.4
Q67477	1.1.1.145;5.3.3.1
P29813	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q66145	2.7.7.48
B8B6I2	1.14.13.72
Q5Z5B7	2.5.1.32
Q05794	2.7.7.48;3.6.1.15
P84787	3.4.21.74
A0A1L9UKS1	2.5.1.29
Q6WVH5	2.1.1.56;2.7.7.50
Q306W6	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
A5K9S0	6.1.1.20
Q67878	2.7.7.49;2.7.7.7;3.1.26.4
Q8RSS3	6.3.5.5
P59709	3.1.1.53
A0A5Y6MCT2	1.1.3.15
O89290	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
P0DOL5	1.8.3.2
Q8TTA9	2.1.1.250
O61078	5.99.1.3
B5EBG1	2.7.9.3
P27408	3.4.22.66;2.7.7.48;3.6.1.15
Q00528	1.9.3.1
P04415	2.7.7.7
A0A7H0DNC3	2.7.7.6
P36304	2.7.7.48;3.6.4.13
Q6XV43	3.2.1.18
P50972	1.21.4.2;1.21.4.3;1.21.4.4
P48073	4.1.1.39
Q7Y4Y9	2.7.4.13
B2RFT0	2.4.2.19
A0A2I2F2I5	2.2.1.6
Q9INJ1	2.7.7.48
Q73FB9	6.1.1.17
G5DAC7	2.4.1.207
B3F2X5	2.7.7.48
Q2LFH3	2.7.7.48
P88838	3.2.1.18
P22174	2.7.7.48
Q7T6Y2	2.7.11.1
P98049	1.9.3.1
P16046	3.4.21.97
Q05254	2.7.7.7
Q58G94	3.4.21.74
P00573	2.7.7.6
A0A1W2PQJ5	3.1.3.16
A0A7H0DN36	2.7.7.19
Q84293	3.6.4.12
Q88CB2	5.1.1.1
B5E4N4	2.7.7.27
R9QMR0	4.2.3.111
P44197	5.4.99.26
P0C6F8	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
E1BSI0	2.4.2.30
Q9GSR1	2.7.7.7
Q9YQ08	2.7.7.48;3.6.4.13
Q8I719	2.7.11.1
Q91MX5	2.7.7.19
Q8V2K9	2.7.4.9
Q99MY8	2.1.1.43
Q81966	3.6.4.12
Q90162	2.7.7.7
P28857	2.7.7.7;3.1.26.4
O47686	1.9.3.1
P10273	3.1.26.4;2.7.7.49;2.7.7.7
Q91511	3.4.21.74
P43911	2.7.9.3
Q9DHU2	1.17.4.1
P12497	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
P07071	1.17.4.2
B2BMQ6	2.7.7.48
A0A976YI25	2.7.3.3
Q09104	3.2.1.18
Q03053	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q05987	4.1.1.39
A4ZU91	2.7.7.7
P07993	2.7.7.48;3.4.22.44
R9QMR1	4.2.3.121
A0A0C1E1D0	2.6.1.1
P0C0E6	2.7.1.21
P58865	2.1.1.248
P15072	2.7.7.48;3.4.22.28;3.4.22.46;3.6.1.15
Q6DPI6	3.2.1.18
P55200	2.1.1.43
Q9QAR6	3.1.1.53
P25154	3.4.19.1
P50645	1.17.4.1
F6M8H8	4.2.3.81;4.2.3.82;4.2.3.83
B5X574	4.1.1.49
P36719	3.6.4.12
P17396	2.7.7.49;2.7.7.7;3.1.26.4
A0A509AF62	2.8.1.7
Q8TVM0	2.7.9.3
Q7PCJ6	2.7.7.6
B1MCK4	2.7.8.11
B8B8K5	1.1.3.15
Q8JYK1	2.7.7.48
P00416	1.9.3.1
P89678	2.7.7.48
O93658	2.1.1.250
I1RNG8	2.7.11.1
P13319	3.1.26.4
P05803	3.2.1.18
Q9Q8P6	2.7.7.6
Q9MVL6	1.6.5.3;1.6.99.5
P97313	2.7.11.1
P17100	2.7.7.49;2.7.7.7;3.1.26.4
Q9EVI3	4.2.1.33
Q9AV39	1.14.13.72
P03475	3.2.1.18
A0A0H3JRU9	6.4.1.1
Q9IR51	3.6.1.3
Q5UQC9	6.3.2.19
Q37282	4.1.1.39
P28624	4.2.1.19;3.1.3.15
P28459	4.1.1.39
Q2QWU2	3.5.1.98
B0XPE4	2.7.12.2;2.7.11.1
Q69014	2.7.7.48;3.6.1.15;3.4.22.66
P05959	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
O88738	6.3.2.19
A0A2H5AIY2	4.1.1.25
P45120	4.2.3.3
Q9WF19	3.4.22.39
Q2RF98	2.7.7.48
P29991	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q5UPY1	3.1.26.4
F4JQH3	3.4.11.9
Q8MBK3	3.6.3.14
Q8JPR2	2.7.7.48
Q9DKT8	2.7.7.7;3.1.26.4
P16513	2.7.7.48
Q9EVI8	2.3.3.13
P07975	3.1.1.53
P08411	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
P58898	2.3.3.13
A0MD28	2.7.7.48;3.4.19.12;3.6.4.12;3.6.4.13
P59796	1.11.1.9
P20314	3.1.21.2
P53765	3.2.2.27
P04392	2.1.1.72
Q6XV28	3.2.1.18
Q7J6G2	1.9.3.1
A0A0H2ZM56	1.1.1.1;1.2.1.10
Q07518	2.7.7.48;3.6.4.13
Q9QNB3	2.7.7.48
P32542	2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7;3.6.1.23
P0CP60	2.7.11.1
Q6V915	1.97.1.10
Q6GZR3	2.7.7.6
S3DQP8	2.6.1.42
Q2YHF2	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q5UB51	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q6GZV6	2.7.11.1
Q32026	4.1.1.39
B5IEU6	4.1.2.4
P33054	2.7.7.6
P21097	1.1.1.145;5.3.3.1
P0C6Y3	2.7.7.48;3.6.4.12;3.6.4.13
Q9IJX4	2.7.7.48
G2QCJ3	3.2.1.4
P68089	1.9.3.1
P13300	2.7.1.21
P0CK06	3.4.22.45
Q65900	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q848I4	5.3.1.9
Q8SQ06	3.1.27.5
A0A077ESS0	2.1.1.104
P0C997	3.6.1.52
P68986	3.4.22.39
D8V078	2.1.1.56;2.7.7.48
P05505	1.9.3.1
P28892	3.6.1.23
A2T3S5	2.1.1.56;2.7.7.50
C3RZA1	2.1.1.43
G4N7X0	2.7.11.1;2.7.11.25
Q5UQ96	3.6.4.13
P29154	2.7.7.48
P29035	2.7.7.48
P22856	3.4.19.12
Q8TS73	2.1.1.250
A0A0P0WIY3	4.4.1.14
P03305	2.7.7.48;3.4.22.28;3.4.22.46;3.6.1.15
O57191	2.7.7.7
P29150	2.7.7.48
Q38S53	1.9.3.1
P0CK09	3.4.22.45
Q2F9P2	3.4.21.21
Q4J989	2.3.3.14
P03155	2.7.7.49;2.7.7.7;3.1.26.4
Q6R7K3	1.17.4.1
P0C8I4	2.7.1.21
P20509	2.7.7.7
O64235	2.7.7.7
Q9J6K9	2.7.7.48;3.6.1.15;3.6.4.13
Q0A2G2	3.2.1.18
P0C702	1.17.4.1
P27421	1.5.1.3
P16512	2.7.7.48
P08492	3.2.1.18
Q9ZXB7	3.2.1.17
P06478	2.7.1.21
B5E379	5.3.1.9
D3ZMY7	3.1.3.5
O47685	1.9.3.1
Q18TV3	2.1.1.250
Q6DFW5	3.6.3.1
Q6IUF8	2.7.7.48
A7X665	2.7.1.134;2.7.1.159
P09853	1.17.4.1
P09523	2.7.7.49
O72907	3.6.1.15
Q05993	4.1.1.39
Q02382	2.7.7.48
Q9XI87	2.7.11.1
Q0E2F9	3.4.19.12
Q9CZN7	2.1.2.1
P29098	2.7.7.48;3.6.4.13
Q02048	3.6.4.12
P06820	3.2.1.18
Q80909	3.6.4.12
Q9L473	2.7.9.3
Q91E95	2.7.7.48
Q66KP0	2.7.4.6;2.7.13.3
O47689	1.9.3.1
P15962	2.7.7.48
Q0PW25	2.7.7.48
Q9QM72	3.4.22.39
Q9N272	2.7.11.24;2.7.11.1
M9PGC5	2.7.11.1
Q65163	1.8.3.2
O55716	1.17.4.1
Q9RDS6	6.3.1.2
Q8BZT7	3.1.1.4
P07239	3.1.3.48
A7U6F3	2.7.7.7
Q9DSQ0	2.7.7.48
P0C6Z8	2.7.11.1
Q5HSS7	2.7.9.3
Q67726	2.7.7.48
Q80915	3.6.4.12
P50678	1.9.3.1
O36430	2.7.7.48
P32537	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
C4B4E5	2.4.1.173
P17965	2.7.7.48;3.6.4.13
O80302	6.5.1.1
Q6XQ98	3.2.1.17
Q96065	1.9.3.1
Q7M1L6	3.2.2.22
Q2FXA4	4.99.1.1
Q65164	2.5.1.29;2.5.1.10
N0A3C0	3.4.22.66;2.7.7.48;3.6.1.15
B7QK46	2.3.2.5
B5E1Q6	1.1.1.86
Q9WJC7	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
Q86PD7	2.3.2.5
A0A0K1SC59	3.5.4.4
C5J7W8	2.7.11.1
O62839	1.11.1.6
P03363	2.7.7.49;2.7.7.7;3.1.26.4
P26808	3.1.26.4;2.7.7.49;2.7.7.7
P0C9C2	5.99.1.3
Q5Y388	3.4.21.90
Q38RU7	1.9.3.1
Q65217	3.6.1.52
Q8JU61	2.7.7.48
P0DSU7	2.7.7.6
Q9G050	6.5.1.1
P0C6W4	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
P24425	2.7.1.21
Q8V2W4	2.7.7.19
Q64323	2.4.1.198
Q89330	3.4.22.45;2.7.7.48;3.4.22.44
Q9J523	2.7.11.1
P39262	3.6.1.12
Q993M1	2.7.7.48
P69514	2.7.7.48;3.6.4.13
O33845	2.7.7.7
P22997	3.1.31.1
Q9QJT4	2.1.1.56;2.7.7.48
A5K464	6.1.1.20
Q4AEI0	1.11.1.9
Q05985	4.1.1.39
A7J3A6	2.7.7.48
A7L9Z4	2.7.7.48
B5E4L2	2.7.1.23
Q9E784	2.1.1.56;2.7.7.48
P41715	3.4.22.50
P19505	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
P21095	2.7.11.1
W5PLZ6	3.2.1.108;3.2.1.62
P67781	1.9.3.1
P07971	3.1.1.53
A0A0S2UWA5	2.1.1.104
Q5UCB8	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
G4VJD5	5.4.2.1;3.1.3.13;5.4.2.4
F8VPU6	3.4.19.12
A0A384JTK5	3.2.1.4
Q38PR6	1.9.3.1
P13157	2.7.1.21
Q66478	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q57596	2.1.1.72
A0R4Q2	6.2.1.3
P0C0W0	3.1.1.53
W5PFI3	1.6.1.2
P0C9D4	2.7.7.19
A5TY84	2.7.11.1
Q1PUD1	2.7.7.48
Q9ZK23	2.7.7.6
P0C8I5	2.7.1.21
P27221	3.6.4.12
Q5UPJ7	6.1.1.1
Q91508	3.4.21.74
P68586	2.1.1.37
Q37989	2.7.7.7
Q9Z0D4	3.6.1.3
B3EUQ9	3.2.1.18
Q6GZW7	2.7.7.6;2.7.7.48
Q1AS69	2.1.3.2
P06854	2.1.1.45
P77218	2.3.1.8
O42207	3.4.21.74
P0DOF9	3.2.1.18
P36483	4.1.1.39
A0A1L6Z3A5	4.2.3.38
P68544	2.1.1.57
P20875	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
A2YH41	2.7.11.1
P0DXB0	4.2.1.11
P03117	3.6.4.12
D6WJ77	2.1.1.100
P0C6K7	2.7.7.48
P0C0V9	3.1.1.53
P00346	1.1.1.37
P0CK03	3.4.22.45
A0A1S4BJT3	1.4.3.16
P0C0W6	2.1.1.249
P36286	2.7.7.48;3.6.1.15;3.4.22.66
Q9DG84	3.4.21.74
P68762	3.1.1.53
Q6WNV8	2.1.1.56;2.7.7.50
P36329	3.4.21.90
Q4AEH4	1.11.1.9
J3S835	3.4.21.74
J9VMX7	2.4.1.16
Q9WAB2	3.6.4.13
Q1CS68	2.7.7.6
P0DSU5	3.6.4.13
P20876	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.47;3.4.23.16
A0A1S4A695	5.4.2.8
P07658	1.1.99.33;1.2.1.2
Q5GA85	2.1.1.56;2.7.7.48
P03554	2.7.7.49
P78820	6.3.4.14;6.4.1.2
Q22453	3.1.3.16
A0A7H0DN39	2.7.7.6
Q5UPZ9	2.3.1.4
Q9YMV2	6.5.1.1
Q06GJ0	3.2.1.52
A0A509ALV6	2.7.11.1
P17003	3.1.1.53
P52507	3.2.2.27
P07605	2.7.1.21
P35992	3.1.3.48
Q24742	2.1.1.43
P92693	1.9.3.1
O47688	1.9.3.1
A0A0E3NEE1	1.8.98.1
Q698V5	2.7.7.48
Q99611	2.7.9.3
Q6XV23	3.2.1.18
P98033	1.9.3.1
B8AME2	1.11.1.6
Q98218	3.6.4.13
P12563	3.2.1.18
Q98229	2.7.7.6
Q9IZK2	2.4.1.102;2.4.1.150
O98883	4.1.1.39
Q64968	3.2.1.18
A0A075TRC0	2.3.1.165
N1P212	3.2.1.28
A0A7W3N5X5	2.2.1.2
P0CK10	3.4.22.45
O54028	6.4.1.3
Q65159	2.7.7.19
Q07848	3.6.4.12
Q5UQI4	1.3.1.21
B5E399	1.1.1.94
P08333	2.7.1.21
P31623	3.1.26.4;2.7.7.49;2.7.7.7;3.6.1.23
P50758	3.6.4.12
P03316	3.4.21.90
B5E4Y3	1.7.1.7
P50662	1.9.3.1
Q9QBU0	2.7.7.48;3.6.4.13
D1MI46	1.14.13.152
Q6WAT6	2.1.1.56;2.7.7.50
P09385	3.2.2.22
P51528	3.1.1.32;3.1.1.4
P59711	3.1.1.53
P16504	2.7.7.48
A0A5B8YWJ2	1.10.3.2
A0A7H0DN83	5.99.1.2
D0FH76	3.6.4.6
A0A0U1RPR8	4.6.1.2
Q65399	2.7.7.48;3.4.22.44;3.4.22.45
D3U715	4.2.1.91;4.2.1.51
O47671	1.9.3.1
K0E681	3.2.1.7
Q6YP73	2.7.11.1
P20127	2.7.7.48;3.6.4.13
P53764	3.2.2.27
P07968	3.1.1.53
Q8H2B4	4.2.3.26
Q93A90	4.1.1.39
P27172	2.7.7.7;3.1.26.4
P16506	2.7.7.48
Q77373	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
A1B8Z1	4.1.3.41
P49898	1.97.1.11
Q98631	2.7.7.48
Q7J6G4	1.9.3.1
D4A2Z8	3.6.4.13
F5HAW0	1.17.4.1
Q09136	2.7.11.1;2.7.11.27;2.7.11.31
Q93TM1	2.4.1.10
G5EBH1	3.6.3.1
Q91FS1	2.7.4.9
Q77MS0	1.17.4.1
A0A1D8PH78	2.5.1.10;2.5.1.1
P58971	2.1.1.249
Q01786	3.2.1.4
P10866	3.2.1.18
Q6PDK2	2.1.1.43
O71304	2.7.7.49;2.7.7.7;3.1.26.4
Q69BJ8	1.10.2.2
O03067	3.6.3.14
P0C9E0	2.5.1.29;2.5.1.1;2.5.1.10
A0A3Q0KHE7	2.1.1.125
P22958	2.7.7.48
A0A1D8PS71	3.1.3.2
P68300	1.9.3.1
Q6DN67	2.1.1.56;2.7.7.48
O30408	5.1.1.11
Q975F9	2.3.1.157;2.7.7.23
Q9J5C0	2.7.7.6
A4Q998	2.4.2.1
Q6UDJ2	1.17.4.1
Q4JQW7	3.6.1.23
P0C8F9	2.7.4.9
P07393	2.7.7.48
P0C971	2.7.7.7
B7SSM2	2.7.7.7
P12451	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.47
C6KTD2	2.1.1.43
Q6WB93	2.1.1.56;2.7.7.48
C0HM79	3.1.1.4
Q91FE4	2.7.11.1
Q9FGB1	2.7.11.1
P0DRB8	3.4.14.5
Q9WVR3	3.1.3.86
P89469	3.6.1.23
P55824	3.4.19.12
Q20PL6	2.7.7.48
Q9IGQ6	3.2.1.18
P0DUB6	3.2.1.1
P12848	1.17.4.1
Q8S0S6	1.14.11.13
Q1A249	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q38862	5.5.1.4
O91254	3.6.1.3
Q4WVM7	2.7.11.1
S8FGV1	1.10.3.2
P36728	3.6.4.12
A0A0S2UWC9	2.1.1.104
A0A0H2ZNH9	2.7.13.3
Q5PU49	2.7.11.13;2.7.11.1;2.7.10.2
A0A1W5T1Y5	2.6.1.42
P0CK13	3.4.22.45
F8UL81	4.2.3.57
P26971	1.21.4.2;1.21.4.3;1.21.4.4
Q0J290	1.5.3.14;1.5.3.15
Q9VUK8	6.1.1.14
P58970	2.1.1.249
P29152	2.7.7.48;3.4.22.44;3.4.22.45
P71384	4.2.1.2
A4GT88	1.97.1.10
C0PPM5	4.2.3.58
P16009	3.2.1.17
O47696	1.9.3.1
P09176	5.99.1.3
Q07048	2.7.7.48
O47669	1.9.3.1
P04519	2.4.1.26
P92696	1.9.3.1
P89436	2.7.11.1
Q6YTF1	1.14.13.145
P29990	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q8UVX8	1.97.1.10
Q73JP8	2.7.9.3
A0A144A2H0	3.4.11.9
P41357	2.1.1.56;2.7.7.48
A0A7H0DN45	1.8.3.2
G4MY67	2.5.1.58
Q07581	3.2.1.18
Q3ZK57	2.1.1.56;2.7.7.50
Q0QZ08	1.10.3.9
Q1LW01	3.4.24.21
Q9JH69	2.7.7.48
I1RJR2	1.14.13.70
P43836	6.1.1.1
P20321	3.1.11.3
B8YB53	2.7.7.6
Q66136	2.7.7.48
Q8QQ67	2.7.7.19
F2RB79	4.1.3.27
Q0HD52	2.7.7.48
Q91507	3.4.21.74
P32176	1.2.1.2
Q705F4	3.6.4.12
Q9T9X6	1.9.3.1
Q04544	2.7.7.48;3.6.1.15;3.4.22.66
Q83906	3.4.22.39
Q8SQ04	3.1.27.5
Q9QJ30	3.4.21.97
Q9W0P2	2.7.7.7
Q6J856	2.7.7.48
P16901	2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7;3.6.1.23
Q7T046	3.4.24.58
Q2VC92	2.7.7.48
P16505	2.7.7.48
P15443	2.7.11.1
Q84UI6	2.1.1.43
P31202	4.1.1.39
A4ZU96	2.7.4.9
A0A1P7Y0A8	2.5.1.21
A0A7H0DN78	3.1.3.48
P0C6F3	2.7.7.48;3.6.4.12;3.6.4.13
Q4AEH5	1.11.1.9
C9K7B6	2.6.1.42
O47706	1.9.3.1
P12900	2.7.7.49;2.7.7.7;3.1.26.4
C8VN86	1.1.1.34
Q9G5S9	1.9.3.1
P0C991	6.5.1.1
P20470	2.7.7.48
P35742	3.2.1.18
A0A1S3YEG8	1.4.3.16
Q2LFV4	3.2.1.18
A9JR23	2.7.7.48
P16509	2.7.7.48
P68553	1.9.3.1
O57187	2.7.7.6
P68611	2.7.7.6
A0A059TC02	1.2.1.44
Q5UQV6	1.8.3.2
P0C6X5	2.7.7.48;3.6.4.12;3.6.4.13;3.4.19.12
P41684	3.2.1.14
W0T9X4	2.7.11.1
Q4WJJ9	1.3.1.70
Q05995	4.1.1.39
P71380	2.7.13.3
Q9W7Y7	3.2.1.18
P93906	4.1.1.39
P16913	2.7.11.1
Q5ZJM7	2.7.1.74
Q4AEH9	1.11.1.9
O40955	2.7.7.48;3.6.1.15;3.6.4.13
O15925	2.7.7.48
Q91MA2	3.2.1.18
Q8R8W3	2.7.9.3
P03198	2.7.7.7;3.1.26.4
P27409	3.4.22.66;2.7.7.48;3.6.1.15
O56043	2.1.1.56;2.7.7.50
Q03396	2.1.1.56;2.7.7.48
P06275	2.7.7.49;2.7.7.7;3.1.26.4
Q9LUT0	2.7.11.1
Q9DUD8	2.1.1.56;2.7.7.48
Q8BRH4	2.1.1.43
A0A1L5YRA2	5.3.1.1
P0CJ99	3.4.22.45
Q83417	3.4.21.97
P00543	2.7.10.2;2.7.10.1
P30028	2.7.7.49;2.7.7.7;3.1.26.4
Q76RA8	2.7.4.9
P20331	3.5.1.28
Q6Q249	3.1.1.32
Q6XQI9	2.7.7.48
P12916	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q01511	2.1.1.72
P97391	3.1.1.4
Q6R325	2.7.7.48;3.4.22.28;3.6.1.15
A7B555	4.1.3.3
Q4JQW2	2.1.1.45
A0A0H2ZF87	2.1.1.200
P03660	6.5.1.1
Q37875	3.2.1.17
P27153	2.7.7.48
Q9VKY8	2.7.9.3
P0DV84	2.7.10.1
O42449	1.97.1.10
Q9EPU2	2.3.1.48
Q8VZF4	2.7.11.1
Q6I7C3	2.7.7.48
O99001	4.1.1.39
Q14EB1	3.1.1.53
F2XF92	4.2.3.44;5.5.1.12;4.2.3.132;4.2.3.18;4.2.3.32
Q9SSA4	2.7.11.1
P14597	3.6.1.23
Q37419	1.9.3.1
G4N374	2.7.11.24;2.7.11.1
P27559	3.2.2.22
P28897	2.7.7.48;3.6.4.13
Q2NIH4	2.1.1.199
P0DOO6	2.7.7.7
Q8Y914	2.7.1.26;2.7.7.2
Q9SSM2	4.1.2.10
C4M4T9	3.1.3.7
Q3AAF7	2.7.9.3
